filename,score,bbox_fill,aspect_ratio,transparency,vertical_center,reasons
The single bloom is blue with long_ wavy petals arranged in a spiral.webp,2.50,0.64,1.03,0.50,0.49,Dense bloom (64% bbox fill); Square shape (aspect 1.03)
The single flower bloom is blue and pink with veined_ uniquely shaped petals.webp,2.50,0.56,0.99,0.60,0.47,Dense bloom (56% bbox fill); Square shape (aspect 0.99)
Three blue_ five-petal flowers_ with two buds_ petals have prominent veins.webp,2.50,0.61,0.93,0.58,0.53,Dense bloom (61% bbox fill); Square shape (aspect 0.93)
The striking_ single_ blue trumpet-shaped flower exhibits delicate_ veined petals arranged in a swirling pattern.webp,2.50,0.61,0.89,0.55,0.48,Dense bloom (61% bbox fill); Square shape (aspect 0.89)
The single_ blue love-in-a-mist bloom displays veined petals and fine_ needle-like supporting bracts.webp,2.50,0.55,0.95,0.54,0.47,Dense bloom (55% bbox fill); Square shape (aspect 0.95)
Three purple_ trumpet-shaped petunia blooms with ruffled edges_ and prominent veins are shown.webp,2.50,0.62,0.98,0.48,0.51,Dense bloom (62% bbox fill); Square shape (aspect 0.98)
Two white Gardenias_ one bloomed open_ petals ruffled_ golden stamen contrasting.webp,2.50,0.50,1.02,0.54,0.49,Dense bloom (50% bbox fill); Square shape (aspect 1.02)
Two purple_ trumpet flowers and two in bud_ with deeply veined_ ruffled petals.webp,2.50,0.56,0.92,0.57,0.44,Dense bloom (56% bbox fill); Square shape (aspect 0.92)
The single blue flower has many slightly curved_ slender petals in a radial arrangement.webp,2.50,0.62,1.02,0.54,0.47,Dense bloom (62% bbox fill); Square shape (aspect 1.02)
This flower is a solitary pansy_ with purple_ pink_ and orange petals.webp,2.50,0.60,0.88,0.51,0.45,Dense bloom (60% bbox fill); Square shape (aspect 0.88)
Wisteria-like flowers in shades of purple_ cascading blooms with rounded_ ruffled petals.webp,2.50,0.52,0.95,0.60,0.45,Dense bloom (52% bbox fill); Square shape (aspect 0.95)
This is one purple crocus bloom with six petals_ showcasing prominent orange stigmastamens.webp,2.50,0.52,0.94,0.60,0.42,Dense bloom (52% bbox fill); Square shape (aspect 0.94)
The singular_ light-blue columbine exhibits curved petal spurs and copious yellow stamen.webp,2.50,0.53,1.02,0.54,0.45,Dense bloom (53% bbox fill); Square shape (aspect 1.02)
This is a solitary columbine flower_ with layers of purple and blue petals.webp,2.50,0.55,1.03,0.54,0.46,Dense bloom (55% bbox fill); Square shape (aspect 1.03)
This single flower has ruffled_ overlapping petals in shades of blue and lavender.webp,2.50,0.60,0.90,0.54,0.47,Dense bloom (60% bbox fill); Square shape (aspect 0.90)
Three purple sweet pea flowers show delicate veining and ruffled petal edges.webp,2.50,0.55,0.98,0.50,0.45,Dense bloom (55% bbox fill); Square shape (aspect 0.98)
Trumpet-shaped flower_ light purple_ one open bloom and one closed bud_ with veined petals.webp,2.50,0.53,0.88,0.63,0.46,Dense bloom (53% bbox fill); Square shape (aspect 0.88)
One light blue morning glory bloom with delicate_ translucent_ funnel-shaped petals and prominent veins.webp,2.50,0.51,1.03,0.61,0.48,Dense bloom (51% bbox fill); Square shape (aspect 1.03)
The roses are pink and peach colored_ with layered_ ruffled petals_ and abundant blooms.webp,2.50,0.57,1.03,0.54,0.52,Dense bloom (57% bbox fill); Square shape (aspect 1.03)
A single_ orange lily flower with ruffled petals and prominent stamens.webp,2.50,0.62,0.96,0.61,0.49,Dense bloom (62% bbox fill); Square shape (aspect 0.96)
This salmon pink camellia flower has many rounded petals arranged in a concentric pattern.webp,2.50,0.63,1.04,0.53,0.47,Dense bloom (63% bbox fill); Square shape (aspect 1.04)
A peach-colored dahlia with many layers of petals formed in a rounded_ layered head.webp,2.50,0.52,0.90,0.59,0.44,Dense bloom (52% bbox fill); Square shape (aspect 0.90)
The single hibiscus bloom is peachy-pink_ with delicate petal veining and prominent stamens.webp,2.50,0.59,1.01,0.50,0.47,Dense bloom (59% bbox fill); Square shape (aspect 1.01)
The pink poppy-like flower has translucent_ veined petals that seem fragile_ solitary bloom.webp,2.50,0.56,1.01,0.52,0.48,Dense bloom (56% bbox fill); Square shape (aspect 1.01)
This striking rose has pink_ tightly spiraled petals with ruffled edges in a single bloom.webp,2.50,0.52,0.86,0.58,0.44,Dense bloom (52% bbox fill); Square shape (aspect 0.86)
Two pink hibiscus-like blooms with inward-curving petals and prominent reddish centers.webp,2.50,0.54,0.87,0.60,0.47,Dense bloom (54% bbox fill); Square shape (aspect 0.87)
This is a single peach-colored gerbera daisy with many thin petals and green stem.webp,2.50,0.54,0.92,0.54,0.46,Dense bloom (54% bbox fill); Square shape (aspect 0.92)
Two peach colored roses with unique stamen arrangement and slightly ruffled petals.webp,2.50,0.53,0.96,0.56,0.48,Dense bloom (53% bbox fill); Square shape (aspect 0.96)
Two light pink rose blooms_ cupped petals_ and prominent central stamen structures.webp,2.50,0.62,0.92,0.50,0.45,Dense bloom (62% bbox fill); Square shape (aspect 0.92)
This pink rose has delicate_ slightly ruffled petals and a bright golden center. Small buds accompany it.webp,2.50,0.62,1.01,0.48,0.47,Dense bloom (62% bbox fill); Square shape (aspect 1.01)
Single pink carnation bloom_ many ruffled petals_ layered_ and delicate textures.webp,2.50,0.63,0.97,0.51,0.45,Dense bloom (63% bbox fill); Square shape (aspect 0.97)
Two orange hibiscus-like blooms_ the petals are delicately veined and have a simple_ rounded shape.webp,2.50,0.59,1.00,0.51,0.49,Dense bloom (59% bbox fill); Square shape (aspect 1.00)
This orange hibiscus-like flower has two buds and distinctive veined petals arranged in a radial pattern.webp,2.50,0.63,0.97,0.46,0.46,Dense bloom (63% bbox fill); Square shape (aspect 0.97)
The single rose bloom is a soft pink with ruffled_ veined petals.webp,2.50,0.52,0.87,0.60,0.43,Dense bloom (52% bbox fill); Square shape (aspect 0.87)
Single_ large_ red hibiscus flower with ruffled petals and prominent yellow stamen.webp,2.50,0.65,1.00,0.50,0.46,Dense bloom (65% bbox fill); Square shape (aspect 1.00)
These are pale pink cherry blossoms with rounded petals and reddish buds. Many blooms on a stem.webp,2.50,0.50,1.08,0.63,0.51,Dense bloom (50% bbox fill); Square shape (aspect 1.08)
Three peach colored bell-shaped flowers with large_ hanging petals and closed buds.webp,2.50,0.50,1.03,0.57,0.52,Dense bloom (50% bbox fill); Square shape (aspect 1.03)
This flower_ possibly a geranium_ has reddish-pink petals_ five blooms and distinctive veining.webp,2.50,0.52,0.91,0.57,0.43,Dense bloom (52% bbox fill); Square shape (aspect 0.91)
This single marigold bloom is dark orange with frilled petals around a golden center.webp,2.50,0.53,0.97,0.53,0.42,Dense bloom (53% bbox fill); Square shape (aspect 0.97)
White chrysanthemum-like flower with many petals_ center is green. Single bloom.webp,2.50,0.62,0.98,0.46,0.46,Dense bloom (62% bbox fill); Square shape (aspect 0.98)
The single Protea bloom has pink-tipped petals radiating around a cone-shaped_ striated center.webp,2.50,0.52,0.81,0.64,0.46,Dense bloom (52% bbox fill); Square shape (aspect 0.81)
The single Zinnia bloom features layered_ rounded_ red colored petals and a yellow center.webp,2.50,0.52,0.95,0.55,0.42,Dense bloom (52% bbox fill); Square shape (aspect 0.95)
A single coneflower with drooping pink petals and a spiky_ orange-brown central cone.webp,2.50,0.51,0.97,0.58,0.47,Dense bloom (51% bbox fill); Square shape (aspect 0.97)
Three coral-colored geranium flowers with softly rounded petals and visible veining.webp,2.50,0.58,0.92,0.52,0.48,Dense bloom (58% bbox fill); Square shape (aspect 0.92)
The single chrysanthemum bloom is lavender and white_ with many slender_ delicate petals.webp,2.50,0.54,0.95,0.55,0.46,Dense bloom (54% bbox fill); Square shape (aspect 0.95)
This single chrysanthemum bloom displays soft_ curled petals in peach_ pink_ and blue hues.webp,2.50,0.56,0.95,0.55,0.44,Dense bloom (56% bbox fill); Square shape (aspect 0.95)
The single protea flower is pink with white interior_ petals are layered and pointed.webp,2.50,0.55,1.01,0.58,0.47,Dense bloom (55% bbox fill); Square shape (aspect 1.01)
The single chrysanthemum bloom displays peach-colored petals_ tightly packed and curving dramatically.webp,2.50,0.50,0.98,0.60,0.43,Dense bloom (50% bbox fill); Square shape (aspect 0.98)
Watercolor bougainvillea illustration with translucent pink and purple bracts_ intricate vein details_ on a black background..webp,2.50,0.51,1.00,0.54,0.48,Dense bloom (51% bbox fill); Square shape (aspect 1.00)
Three peach-colored geraniums with deeply veined_ rounded petals. Petals are irregularly shaped.webp,2.50,0.56,0.93,0.52,0.47,Dense bloom (56% bbox fill); Square shape (aspect 0.93)
This is a single water lily bloom with blue-tipped petals and a prominent yellow center.webp,2.00,0.52,0.92,0.68,0.48,Dense bloom (52% bbox fill); Square shape (aspect 0.92); High transparency (good)
Pink hydrangea with numerous_ small_ rounded petals closely packed to form a rounded head.webp,2.00,0.50,0.92,0.60,0.41,Square shape (aspect 0.92); Top-heavy (center at 41%)
These are pink cyclamen flowers with curved_ reflexed petals and dark centers_ multiple blooms.webp,2.00,0.51,0.85,0.69,0.49,Dense bloom (51% bbox fill); Square shape (aspect 0.85); High transparency (good)
Yellow rose with overlapping petals and one bud_ petals have subtle coloration.webp,2.00,0.50,0.92,0.66,0.48,Dense bloom (50% bbox fill); Square shape (aspect 0.92); High transparency (good)
The single bloom vibrant orange hibiscus-like flower possesses five distinct_ soft textured_ semi-translucent petals.webp,2.00,0.49,0.96,0.55,0.37,Square shape (aspect 0.96); Top-heavy (center at 37%)
Two daffodils_ one white with yellow cup_ the other solid yellow_ trumpet-shaped coronas.webp,2.00,0.44,1.00,0.64,0.40,Square shape (aspect 1.00); Top-heavy (center at 40%)
This hydrangea boasts large grouping of blue-purple blooms with delicate_ rounded petals.webp,2.00,0.46,0.92,0.65,0.40,Square shape (aspect 0.92); Top-heavy (center at 40%)
This is a purple_ single bloom of a Sweet Pea type flower_ delicate and veined.webp,2.00,0.52,0.89,0.69,0.43,Dense bloom (52% bbox fill); Square shape (aspect 0.89); High transparency (good)
The single_ purple flower has five rounded petals and prominent yellow stamen.webp,2.00,0.49,0.94,0.60,0.41,Square shape (aspect 0.94); Top-heavy (center at 41%)
Blue periwinkle with five overlapping petals and veined texture_ one bloom and bud.webp,2.00,0.50,1.00,0.67,0.47,Dense bloom (50% bbox fill); Square shape (aspect 1.00); High transparency (good)
The single gazania-like bloom displays layered_ pointed orange petals around a dark center.webp,2.00,0.48,0.92,0.61,0.42,Square shape (aspect 0.92); Top-heavy (center at 42%)
The single cosmos bloom shows lavender petals radially arranged around a golden center.webp,1.50,0.47,0.91,0.63,0.42,Square shape (aspect 0.91)
Yellow poppy_ one bloom with ruffled petals_ and a green seed pod.webp,1.50,0.44,0.83,0.69,0.40,Square shape (aspect 0.83); Top-heavy (center at 40%); High transparency (good)
Single yellow sunflower with pointed petals surrounds a textured brown center.webp,1.50,0.50,0.99,0.60,0.46,Square shape (aspect 0.99)
Three lily blooms_ speckled pink and purple petals_ curled edges_ many stamens.webp,1.50,0.49,1.00,0.56,0.49,Square shape (aspect 1.00)
This is a single_ large_ lilac cosmos flower with a yellow center and wavy petals.webp,1.50,0.49,0.86,0.70,0.40,Square shape (aspect 0.86); Top-heavy (center at 40%); High transparency (good)
This is a single stem of light purple Phlox_ with one open bloom and buds.webp,1.50,0.37,0.95,0.74,0.39,Square shape (aspect 0.95); Top-heavy (center at 39%); High transparency (good)
Two pale pink Phlox blooms with rounded petals top a leafy stem.webp,1.50,0.39,0.91,0.73,0.39,Square shape (aspect 0.91); Top-heavy (center at 39%); High transparency (good)
These are pansies_ with 4-5 blooms_ featuring purple_ yellow and gold tones on broad petals.webp,1.50,0.47,0.84,0.63,0.44,Square shape (aspect 0.84)
This bougainvillea shows several fuchsia-colored blooms with papery petal-like bracts and prominent veins.webp,1.50,0.48,1.01,0.57,0.47,Square shape (aspect 1.01)
There is one lavender-blue flower with five large petals and detailed veining.webp,1.50,0.27,0.89,0.79,0.36,Square shape (aspect 0.89); Top-heavy (center at 36%); High transparency (good)
Two large_ open petunia-like blooms show soft purple-pink hues and delicate veining.webp,1.50,0.40,0.84,0.71,0.41,Square shape (aspect 0.84); Top-heavy (center at 41%); High transparency (good)
This is a single_ purple-ish Coneflower bloom_ with drooping petals and a spiky central cone.webp,1.50,0.45,1.04,0.66,0.41,Square shape (aspect 1.04); Top-heavy (center at 41%); High transparency (good)
A single echinacea blooms pink with long_ drooping petals surrounding a cone-like_ orange-brown center.webp,1.50,0.47,0.96,0.59,0.47,Square shape (aspect 0.96)
Pink celosia with many feathery_ pointed petals densely packed in a single large plume.webp,1.50,0.39,0.98,0.63,0.50,Square shape (aspect 0.98)
It's a cluster of lavender gladiolus-like flowers_ some blooming_ with prominent veined petals.webp,1.50,0.43,1.02,0.63,0.46,Square shape (aspect 1.02)
The single bloom has layered_ rounded petals with variegated pink_ orange_ and green hues.webp,1.50,0.35,0.93,0.71,0.38,Square shape (aspect 0.93); Top-heavy (center at 38%); High transparency (good)
Violet-purple pansy_ one open bloom with rounded petals and one closed bud.webp,1.50,0.26,0.93,0.81,0.38,Square shape (aspect 0.93); Top-heavy (center at 38%); High transparency (good)
This is a Petunia flower with two blooms_ its petals are pink and purple.webp,1.50,0.48,0.92,0.61,0.45,Square shape (aspect 0.92)
Two lightly textured_ pinkish-purple petunia blooms_ one open and one furled_ showing veined petals.webp,1.50,0.38,0.96,0.69,0.34,Square shape (aspect 0.96); Top-heavy (center at 34%); High transparency (good)
There are two blooms_ one daisy-like_ purple hue_ many lance-shaped petals.webp,1.50,0.43,0.88,0.72,0.39,Square shape (aspect 0.88); Top-heavy (center at 39%); High transparency (good)
The solitary_ orange hibiscus bloom features veined petals and a prominent_ colorful stamen.webp,1.50,0.45,0.82,0.72,0.38,Square shape (aspect 0.82); Top-heavy (center at 38%); High transparency (good)
Three off-white magnolia blooms with large_ cupped petals arranged in a spiral form.webp,1.50,0.49,0.80,0.61,0.47,Square shape (aspect 0.80)
Tiger Lily with ruffled_ veined petals in orange and yellow_ several unopened blooms.webp,1.50,0.32,0.84,0.79,0.40,Square shape (aspect 0.84); Top-heavy (center at 40%); High transparency (good)
Yellow rose with one bloom and a bud_ many petals forming a classic shape.webp,1.50,0.45,1.02,0.62,0.46,Square shape (aspect 1.02)
The single cosmos bloom displays varied pink-yellow petals with distinct striations and a delicate_ rippled edges.webp,1.50,0.40,0.90,0.71,0.41,Square shape (aspect 0.90); Top-heavy (center at 41%); High transparency (good)
White lily.webp,1.50,0.45,0.99,0.63,0.55,Square shape (aspect 0.99)
Two white_ bell-shaped snowdrop blossoms with long_ pointed petals hang down from a single stem.webp,1.50,0.18,0.81,0.90,0.40,Square shape (aspect 0.81); Top-heavy (center at 40%); High transparency (good)
Two lantern-like orange blossoms_ delicate veined petals overlapping in a bell shape.webp,1.50,0.49,0.97,0.58,0.53,Square shape (aspect 0.97)
This orange flower has one bloom with slender petals arranged densely.webp,1.50,0.43,0.86,0.68,0.39,Square shape (aspect 0.86); Top-heavy (center at 39%); High transparency (good)
Translucent orange blossoms with visible veins_ wide petals_ stamens cluster in the center_ one bloom shown.webp,1.50,0.44,0.96,0.61,0.48,Square shape (aspect 0.96)
This single_ thistle-like bloom has spiky orange petals arranged in a circular fashion.webp,1.50,0.32,0.89,0.73,0.39,Square shape (aspect 0.89); Top-heavy (center at 39%); High transparency (good)
White cherry-type blossoms and unopened buds grow on twig_ flowers have five rounded petals.webp,1.50,0.35,0.92,0.77,0.42,Square shape (aspect 0.92); Top-heavy (center at 42%); High transparency (good)
The single marigold bloom is orange_ with many ruffled petals surrounding a dense center.webp,1.50,0.44,0.94,0.71,0.42,Square shape (aspect 0.94); Top-heavy (center at 42%); High transparency (good)
The single zinnia flower has orange petals with a rounded shape surrounding a brown center.webp,1.50,0.46,0.95,0.62,0.43,Square shape (aspect 0.95)
This marigold exhibits a single_ layered_ orange bloom with ruffled petals.webp,1.50,0.36,0.88,0.72,0.40,Square shape (aspect 0.88); Top-heavy (center at 40%); High transparency (good)
White magnolia in full bloom_ with broad petals and a distinctive central cone.webp,1.50,0.47,0.87,0.63,0.45,Square shape (aspect 0.87)
There are two poppy-like blooms one bud_ one bloom. The bloom has large_ frilled_ creamy-yellow petals and faint lavender coloring.webp,1.50,0.41,0.88,0.69,0.42,Square shape (aspect 0.88); Top-heavy (center at 42%); High transparency (good)
Three chartreuse-green_ cup-shaped hellebore blooms with maroon centers_ layered petals branching from a stem.webp,1.50,0.42,0.97,0.64,0.43,Square shape (aspect 0.97)
Two honeysuckle-like blooms_ cream colored petals_ prominent orange stamens_ and simple_ elegant petal arrangement.webp,1.50,0.47,1.04,0.63,0.47,Square shape (aspect 1.04)
White_ one blooming iris with ruffled petals and smaller green buds.webp,1.50,0.49,1.02,0.61,0.48,Square shape (aspect 1.02)
The single_ pale white-pink flower has five petals and a dark purple center.webp,1.50,0.48,0.98,0.65,0.49,Square shape (aspect 0.98)
White snowdrop-like flower dangles_ single bloom_ with golden interior drops and folded_ curving petals.webp,1.50,0.29,0.81,0.84,0.41,Square shape (aspect 0.81); Top-heavy (center at 41%); High transparency (good)
White Honeysuckle-like flower with long_ spindly filaments. One bloom with distinctive petal shape.webp,1.50,0.32,0.85,0.79,0.42,Square shape (aspect 0.85); Top-heavy (center at 42%); High transparency (good)
This hydrangea blooms with numerous blue and pink_ overlapping petals in a rounded cluster.webp,1.50,0.50,0.94,0.66,0.41,Square shape (aspect 0.94); Top-heavy (center at 41%); High transparency (good)
Violet carnation-like blooms_ plus buds_ with layered_ fringed petals_ stems emerge from central base.webp,1.50,0.25,0.96,0.80,0.35,Square shape (aspect 0.96); Top-heavy (center at 35%); High transparency (good)
Two anemone-type flowers_ one open purplish-pink bloom_ one bud_ paper-thin petals.webp,1.50,0.20,0.84,0.86,0.32,Square shape (aspect 0.84); Top-heavy (center at 32%); High transparency (good)
This is a single tiger lily bloom_ featuring pink_ orange_ and blue speckled petals.webp,1.50,0.46,0.99,0.60,0.49,Square shape (aspect 0.99)
Three bluepurple orchids_ with soft petals and unique interior structures. One bloom is still a bud.webp,1.50,0.45,0.90,0.64,0.43,Square shape (aspect 0.90)
This is a single_ bell-shaped blue flower with delicate_ translucent petals.webp,1.50,0.48,1.05,0.65,0.53,Square shape (aspect 1.05)
Branching blue flowers_ five petals each_ with a golden center_ and multiple unopened buds.webp,1.50,0.44,0.95,0.65,0.46,Square shape (aspect 0.95)
There are three bell-shaped purple blooms with curled petal edges and a dangling stamen.webp,1.50,0.48,0.89,0.64,0.52,Square shape (aspect 0.89)
This is a single_ violet-hued crocus flower with softly curved petals and an orange center.webp,1.50,0.49,0.88,0.68,0.40,Square shape (aspect 0.88); Top-heavy (center at 40%); High transparency (good)
Two blue-violet blooms_ resembling delphinium_ feature translucent petals with prominent veins.webp,1.50,0.44,0.93,0.60,0.51,Square shape (aspect 0.93)
Cluster of purple bougainvillea_ many paper-like bracts_ unique veining texture and pointed petal tips are present.webp,1.50,0.47,1.03,0.59,0.50,Square shape (aspect 1.03)
There is one large light purple flower and two purple closed buds with five petals.webp,1.50,0.47,0.98,0.62,0.44,Square shape (aspect 0.98)
Two purple crocus blooms display veined petals and bright orange stamen.webp,1.50,0.42,1.00,0.60,0.43,Square shape (aspect 1.00)
This blue cornflower has one large bloom with fringed petals alongside two buds.webp,1.50,0.40,0.89,0.68,0.40,Square shape (aspect 0.89); Top-heavy (center at 40%); High transparency (good)
Two blue_ rounded-petal flowers with yellow centers bloom. Both feature five petals.webp,1.50,0.35,0.85,0.84,0.41,Square shape (aspect 0.85); Top-heavy (center at 41%); High transparency (good)
There are two bluebell-type flowers_ one open in a bell shape_ one a bud.webp,1.50,0.24,0.82,0.85,0.35,Square shape (aspect 0.82); Top-heavy (center at 35%); High transparency (good)
Verbena flower with abundant_ lilac petals and a small white center clustered densely.webp,1.50,0.43,0.82,0.72,0.40,Square shape (aspect 0.82); Top-heavy (center at 40%); High transparency (good)
The single white daffodil bloom features frilled_ yellow-tinged central cup and pointed_ slightly overlapping petals.webp,1.50,0.50,1.00,0.53,0.47,Square shape (aspect 1.00)
The purple allium-type flower has many round blooms_ densely arranged in a spherical shape.webp,1.50,0.46,0.92,0.65,0.44,Square shape (aspect 0.92)
Wisteria-like_ many showy_ layered blooms in shades of lilac and purple_ rounded petals.webp,1.50,0.41,0.88,0.65,0.40,Square shape (aspect 0.88); Top-heavy (center at 40%); High transparency (good)
Watercolor blue delphinium flower with distinct lines on its petals against a black background..webp,1.50,0.48,0.90,0.61,0.50,Square shape (aspect 0.90)
Two blue Nigella flowers_ the primary bloom features numerous filaments and delicate_ intricately veined petals.webp,1.50,0.47,1.03,0.60,0.45,Square shape (aspect 1.03)
This purple flowering plant has around four blooms with distinct vein-like patterns on petals.webp,1.50,0.45,0.96,0.60,0.46,Square shape (aspect 0.96)
Trumpet-shaped light blue flower with a few unopened blooms and pointed petals.webp,1.50,0.29,0.86,0.78,0.34,Square shape (aspect 0.86); Top-heavy (center at 34%); High transparency (good)
This single purple flower displays prominent stamen and delicate_ overlapping petals.webp,1.50,0.46,0.90,0.64,0.51,Square shape (aspect 0.90)
One orange tulip bloom with layered_ ruffled petals and green leaves.webp,1.50,0.42,0.81,0.66,0.38,Square shape (aspect 0.81); Top-heavy (center at 38%); High transparency (good)
This pink hydrangea presents many blooms with rounded_ veined petals densely grouped.webp,1.50,0.50,0.90,0.64,0.43,Square shape (aspect 0.90)
Two rose blooms_ one peach-colored_ with many rounded petals_ revealing dark center.webp,1.50,0.48,0.95,0.62,0.43,Square shape (aspect 0.95)
A solitary_ pale pink rose with delicate petals and prominent central stamen cluster.webp,1.50,0.38,0.91,0.70,0.41,Square shape (aspect 0.91); Top-heavy (center at 41%); High transparency (good)
Wild rose_ two blooms_ delicate pink petals_ prominent stamen center_ simple arrangement.webp,1.50,0.49,0.97,0.60,0.46,Square shape (aspect 0.97)
A single coral rose bloom with layered_ slightly ruffled petals and visible center.webp,1.50,0.48,1.02,0.62,0.45,Square shape (aspect 1.02)
Tiger Lily. Roughly six orange petals. Additional unopened buds on the stem.webp,1.50,0.34,0.86,0.72,0.38,Square shape (aspect 0.86); Top-heavy (center at 38%); High transparency (good)
A single_ light pink rose blossom with tightly-layered petals and a budding flower.webp,1.50,0.45,0.99,0.64,0.46,Square shape (aspect 0.99)
This single_ orange lily features large_ recurved petals and closed bud_ with prominent stamens.webp,1.50,0.30,0.95,0.76,0.38,Square shape (aspect 0.95); Top-heavy (center at 38%); High transparency (good)
The rose-like flower has large_ frilly petals_ with colors ranging from orange to pink. One bloom and a closed bud.webp,1.50,0.34,0.89,0.74,0.38,Square shape (aspect 0.89); Top-heavy (center at 38%); High transparency (good)
This is a bougainvillea_ many orange_ papery petal-like bracts surround tiny flowers on dark stems.webp,1.50,0.49,1.00,0.62,0.49,Square shape (aspect 1.00)
There are four pink bell-shaped flowers with hanging stamens on a stem.webp,1.50,0.45,0.85,0.64,0.47,Square shape (aspect 0.85)
Two pink_ translucent blooms with simple_ elongated petals that form a cup-like shape.webp,1.50,0.46,0.89,0.61,0.43,Square shape (aspect 0.89)
The single bloom is orange-red with clustered stamens and curved_ veined petals.webp,1.50,0.48,1.01,0.64,0.56,Square shape (aspect 1.01)
Three celosia blooms_ colors ranging from red to orange to pink_ with feathery texture.webp,1.50,0.46,0.91,0.61,0.50,Square shape (aspect 0.91)
Two pink petunia-like flowers with veined petals and a tightly closed bud.webp,1.50,0.41,0.97,0.71,0.39,Square shape (aspect 0.97); Top-heavy (center at 39%); High transparency (good)
The single salmon-colored azalea bloom displays delicate_ veined petals and a long stamen.webp,1.50,0.16,0.85,0.89,0.34,Square shape (aspect 0.85); Top-heavy (center at 34%); High transparency (good)
Zinnia-like flower_ one bloom_ with orange_ rounded petals and a cluster of yellow florets.webp,1.50,0.47,0.90,0.64,0.43,Square shape (aspect 0.90)
This Gaillardia presents two orange-red blooms_ one is fully open with ruffled petals and the other is still budding.webp,1.50,0.37,0.88,0.72,0.38,Square shape (aspect 0.88); Top-heavy (center at 38%); High transparency (good)
This orange marigold has one bloom with ruffled_ layered petals and golden center.webp,1.50,0.48,0.91,0.61,0.43,Square shape (aspect 0.91)
Trumpet-shaped_ the flower is apricot-colored_ solo bloom_ petals slightly ruffled_ one spiraling down.webp,1.50,0.48,0.96,0.57,0.43,Square shape (aspect 0.96)
White Daisy.webp,1.50,0.40,0.89,0.71,0.40,Square shape (aspect 0.89); Top-heavy (center at 40%); High transparency (good)
This Amaryllis has one fully open_ large coral bloom_ several closed buds_ and delicate petal venation.webp,1.50,0.47,0.95,0.59,0.47,Square shape (aspect 0.95)
This flower has one bloom_ pale pink color_ and petals with translucent_ veined texture.webp,1.50,0.23,0.88,0.85,0.34,Square shape (aspect 0.88); Top-heavy (center at 34%); High transparency (good)
Two full_ frilly orange trumpet flowers with extended stamens and veined petals.webp,1.50,0.44,1.03,0.65,0.48,Square shape (aspect 1.03)
Single pink periwinkle flower with five rounded petals and a yellow center.webp,1.50,0.47,1.01,0.61,0.49,Square shape (aspect 1.01)
Three orange Canna blooms are displayed_ featuring elegant_ curled petals and prominent stamens.webp,1.50,0.45,0.93,0.62,0.46,Square shape (aspect 0.93)
There are two nasturtium flowers_ salmon color_ veined petals_ only one in full bloom.webp,1.50,0.48,0.94,0.58,0.45,Square shape (aspect 0.94)
Solitary coneflower with down-turned pink petals and a prominent_ textured orange center cone.webp,1.50,0.45,0.97,0.62,0.46,Square shape (aspect 0.97)
The single orange Zinnia bloom has rounded petals_ densely layered_ intricate center is dark.webp,1.50,0.48,0.99,0.60,0.45,Square shape (aspect 0.99)
The solitary pink flower has large_ delicate petals that form a cup-like shape.webp,1.50,0.29,0.81,0.81,0.41,Square shape (aspect 0.81); Top-heavy (center at 41%); High transparency (good)
Umbels of small_ peach-toned flowers with five petals clustered together_ creating a dense bloom.webp,1.50,0.33,0.86,0.78,0.35,Square shape (aspect 0.86); Top-heavy (center at 35%); High transparency (good)
A single yellow sunflower with pointed petals arranged around a dark center.webp,1.00,0.39,0.85,0.70,0.49,Square shape (aspect 0.85); High transparency (good)
This is a single_ pink cosmos-type flower with many petals and a yellow center.webp,1.00,0.49,0.86,0.73,0.43,Square shape (aspect 0.86); High transparency (good)
A single yellow sunflower with pointed petals arranged around a dark brown center.webp,1.00,0.49,0.98,0.66,0.46,Square shape (aspect 0.98); High transparency (good)
This plant features multiple bell-shaped_ upward-facing flowers_ varying from light pink to deeper purple hues.webp,1.00,0.31,0.93,0.75,0.51,Square shape (aspect 0.93); High transparency (good)
Yellow_ five-petaled flowers clustered along a branch_ petals are trumpet-shaped and slightly wrinkled.webp,1.00,0.35,0.99,0.65,0.49,Square shape (aspect 0.99); High transparency (good)
Yellow rhododendron-type flowers on a branch_ multiple blooms with wide_ slightly ruffled petals.webp,1.00,0.35,0.81,0.74,0.50,Square shape (aspect 0.81); High transparency (good)
Towering purple foxglove displays numerous bell-shaped blooms with speckled throats_ arranged sequentially up a strong stem.webp,1.00,0.32,0.89,0.73,0.46,Square shape (aspect 0.89); High transparency (good)
This is a holly plant_ the green leaves have pointed edges and clustered red berries.webp,1.00,0.38,0.96,0.78,0.45,Square shape (aspect 0.96); High transparency (good)
One lavender petunia bloom_ with a slightly ruffled edge and prominent veins.webp,1.00,0.46,0.90,0.74,0.43,Square shape (aspect 0.90); High transparency (good)
Whiteyellow Petunia-like flowers with ruffled edges_ multiple blooms presented in a staggered arrangement.webp,1.00,0.41,0.95,0.66,0.45,Square shape (aspect 0.95); High transparency (good)
A single yellow daffodil bloom features a frilled trumpet and pointed petals.webp,1.00,0.43,0.86,0.69,0.47,Square shape (aspect 0.86); High transparency (good)
This large_ clustered flower has pink and red blooms with frilled and layered petals.webp,1.00,0.51,0.70,0.68,0.41,Dense bloom (51% bbox fill); Top-heavy (center at 41%); High transparency (good)
